n 100
limit_time_day	1200

	x	y	Visit_time
0	40	30	97
1	75	98	16
2	52	41	110
3	16	82	112
4	13	87	64
5	82	22	22
6	56	68	96
7	36	34	102
8	82	20	55
9	57	0	32
10	14	20	111
11	50	31	39
12	29	44	69
13	83	55	32
14	83	32	47
15	15	41	54
16	5	40	64
17	47	6	72
18	20	58	120
19	50	80	22
20	65	69	85
21	42	47	69
22	83	84	89
23	18	1	108
24	3	45	112
25	26	40	55
26	65	0	51
27	97	65	50
28	73	48	96
29	39	24	70
30	58	40	97
31	47	84	35
32	78	74	77
33	5	7	67
34	58	100	62
35	21	5	43
36	18	78	103
37	23	91	102
38	29	25	103
39	33	43	60
40	66	94	86
41	32	48	66
42	14	61	22
43	19	83	39
44	39	56	85
45	33	61	72
46	93	92	80
47	30	52	105
48	24	50	25
49	68	36	75
50	97	5	82
51	41	65	40
52	94	37	45
53	87	82	71
54	28	53	79
55	96	100	119
56	54	22	114
57	85	40	68
58	70	77	74
59	17	35	42
60	62	98	100
61	48	85	78
62	90	22	113
63	65	8	120
64	36	77	33
65	19	54	81
66	71	79	109
67	32	13	88
68	76	4	116
69	24	22	73
70	55	22	80
71	22	82	71
72	54	95	107
73	40	65	120
74	9	44	61
75	26	62	28
76	16	54	96
77	73	100	113
78	70	7	81
79	66	4	115
80	98	60	93
81	59	72	99
82	87	31	108
83	31	52	16
84	91	68	84
85	32	85	75
86	80	49	101
87	45	6	84
88	18	25	23
89	75	73	50
90	27	44	69
91	93	10	81
92	97	53	90
93	63	39	98
94	34	56	96
95	34	96	20
96	67	63	19
97	25	39	70
98	75	36	35
99	80	30	106
100	18	13	47
