n 150
limit_time_day	480


	x	y	Visit_time
0	83	23	65
1	77	55	56
2	3	9	84
3	74	11	15
4	38	95	39
5	15	55	39
6	33	67	41
7	32	39	110
8	58	18	17
9	72	63	110
10	55	22	89
11	85	67	48
12	73	66	56
13	13	7	87
14	63	7	78
15	13	69	48
16	55	68	95
17	35	58	116
18	65	92	101
19	60	8	40
20	37	63	31
21	31	14	91
22	34	57	40
23	47	21	31
24	41	51	63
25	30	6	16
26	15	71	102
27	54	98	80
28	23	80	92
29	54	0	114
30	14	27	41
31	84	89	80
32	72	31	111
33	67	37	86
34	81	69	113
35	37	16	22
36	96	54	74
37	71	57	87
38	26	79	35
39	4	2	100
40	29	82	19
41	44	33	17
42	1	25	72
43	51	45	34
44	80	28	25
45	63	49	47
46	89	34	16
47	80	69	34
48	51	52	89
49	99	94	25
50	89	23	18
51	89	57	119
52	61	4	90
53	73	75	83
54	35	97	89
55	90	48	54
56	11	2	73
57	20	34	80
58	13	82	64
59	90	40	61
60	29	61	16
61	2	9	79
62	74	99	89
63	38	100	60
64	29	37	64
65	37	95	111
66	50	89	23
67	91	32	114
68	20	47	54
69	15	34	75
70	30	47	18
71	2	88	49
72	81	38	70
73	30	24	36
74	0	33	30
75	18	79	24
76	24	79	67
77	7	6	70
78	28	96	76
79	92	50	100
80	13	99	77
81	9	35	67
82	78	6	68
83	80	50	71
84	20	32	65
85	100	18	33
86	42	44	113
87	37	52	107
88	5	95	85
89	7	73	58
90	98	73	21
91	17	33	60
92	34	98	111
93	12	86	67
94	36	18	93
95	59	76	100
96	14	24	46
97	41	7	71
98	100	40	106
99	97	62	105
100	3	68	116
101	31	83	64
102	68	98	92
103	12	87	95
104	64	70	117
105	46	92	18
106	32	62	18
107	45	36	67
108	47	5	34
109	45	18	67
110	88	30	117
111	4	53	27
112	11	46	84
113	40	56	103
114	23	92	41
115	30	85	49
116	5	15	89
117	25	40	117
118	69	62	79
119	84	85	44
120	56	52	17
121	59	68	84
122	72	10	42
123	89	47	78
124	74	53	92
125	24	66	36
126	25	86	30
127	55	46	110
128	67	95	38
129	42	9	65
130	65	6	118
131	39	8	57
132	36	16	35
133	65	11	72
134	5	18	79
135	5	26	65
136	65	72	89
137	50	68	77
138	87	75	52
139	71	71	105
140	42	16	109
141	22	11	94
142	0	76	68
143	84	87	120
144	70	2	49
145	54	90	20
146	28	62	22
147	95	42	67
148	81	4	67
149	94	92	20
150	53	33	109
