n 75
limit_time_day	480


	x	y	Visit_time
0	41	63	95
1	73	94	15
2	69	92	29
3	78	37	107
4	96	54	24
5	25	46	115
6	53	19	20
7	89	70	105
8	25	47	27
9	83	1	109
10	80	55	30
11	94	67	61
12	7	37	31
13	52	59	109
14	87	79	39
15	83	5	54
16	24	80	57
17	47	49	34
18	17	13	88
19	15	54	91
20	15	75	112
21	29	14	32
22	82	10	50
23	63	45	30
24	11	49	32
25	70	5	90
26	72	46	91
27	4	7	22
28	5	90	63
29	6	21	23
30	14	50	38
31	22	32	26
32	32	33	31
33	30	87	75
34	5	78	41
35	79	35	38
36	39	4	36
37	35	25	43
38	7	25	23
39	5	51	111
40	26	85	89
41	23	13	110
42	30	93	47
43	30	38	71
44	95	0	62
45	63	68	108
46	41	84	87
47	14	33	73
48	16	73	75
49	76	97	52
50	81	4	52
51	28	56	54
52	95	67	24
53	54	14	70
54	60	8	95
55	86	79	120
56	35	50	78
57	72	44	96
58	96	26	53
59	82	72	36
60	8	97	113
61	25	49	26
62	91	52	22
63	34	3	15
64	19	61	83
65	90	10	20
66	6	66	29
67	4	58	62
68	11	30	24
69	89	68	39
70	23	30	69
71	61	88	95
72	16	19	68
73	65	9	63
74	37	28	59
75	60	28	107
